game,score
770,103
771,-262
772,-74
773,127
774,147
775,179
776,183
777,185
778,120
779,169
780,-257
781,163
782,151
783,87
784,149
785,-177
786,172
787,112
788,82
789,185
790,31
791,130
792,74
793,-45
794,166
795,-210
796,167
797,172
798,182
799,188
800,179
801,110
802,92
803,157
804,163
805,183
806,146
807,118
808,158
809,149
810,168
811,-28
812,119
813,176
814,63
815,97
816,159
817,122
818,167
819,152
820,160
821,48
822,115
823,106
824,77
825,171
826,68
827,157
828,33
829,166
830,121
831,178
832,-33
833,175
834,142
835,151
836,103
837,139
838,149
839,159
840,185
841,177
842,186
843,149
844,164
845,163
846,180
847,175
848,170
849,184
850,177
851,89
852,177
853,128
854,179
855,186
856,175
857,110
858,54
859,150
860,186
861,170
862,148
863,174
864,167
865,117
866,175
867,84
868,87
869,144
870,148
871,188
872,176
873,183
874,182
875,185
876,178
877,146
878,131
879,137
880,152
881,53
882,167
883,173
884,175
885,178
886,176
887,152
888,134
889,176
890,82
891,172
892,146
893,120
894,167
895,178
896,174
897,180
898,176
899,171
900,-42
901,188
902,186
903,147
904,159
905,68
906,95
907,183
908,169
909,127
910,79
911,77
912,139
913,175
914,183
915,62
916,139
917,178
918,-168
919,183
920,176
921,88
922,109
923,150
924,180
925,28
926,162
927,155
928,135
929,129
930,64
931,185
932,184
933,179
934,167
935,100
936,178
937,156
938,81
939,-98
940,156
941,149
942,149
943,175
944,172
945,124
946,171
947,184
948,183
949,34
950,185
951,179
952,178
953,183
954,172
955,135
956,34
957,-170
958,159
959,-109
960,149
961,180
962,146
963,177
964,150
965,182
966,181
967,171
968,35
969,174
970,182
971,184
972,152
973,-54
974,145
975,44
976,139
977,155
978,185
979,181
980,178
981,132
982,116
983,175
984,121
985,27
986,-34
987,38
988,96
989,175
990,169
991,167
992,79
993,181
994,185
995,183
996,179
997,166
998,173
999,171
1000,188
1001,181
1002,180
1003,43
1004,136
1005,167
1006,128
1007,173
1008,173
1009,136
1010,180
1011,60
1012,170
1013,95
1014,171
1015,148
1016,56
1017,163
1018,149
1019,174
1020,184
1021,101
1022,185
1023,173
1024,43
1025,171
1026,97
1027,180
1028,190
1029,153
1030,190
1031,145
1032,179
1033,189
1034,121
1035,-97
1036,131
1037,-261
1038,173
1039,148
1040,179
1041,174
1042,178
1043,171
1044,178
1045,173
1046,185
1047,156
1048,-45
1049,138
1050,182
1051,154
1052,185
1053,175
1054,153
1055,179
1056,180
1057,180
1058,184
1059,134
1060,22
1061,-91
1062,85
1063,172
1064,154
1065,175
1066,175
1067,182
1068,188
1069,182
1070,162
1071,158
1072,186
1073,184
1074,179
1075,146
1076,180
1077,180
1078,122
1079,151
1080,143
1081,159
1082,61
1083,145
1084,173
1085,171
1086,121
1087,181
1088,169
1089,180
1090,175
1091,169
1092,156
1093,177
1094,157
1095,159
1096,68
1097,184
1098,144
1099,176
1100,162
1101,184
1102,185
1103,181
1104,173
1105,182
1106,181
1107,149
1108,-41
1109,136
1110,167
1111,59
1112,-30
1113,182
1114,174
1115,161
1116,181
1117,170
1118,80
1119,161
1120,162
1121,172
1122,163
1123,153
1124,162
1125,188
1126,188
1127,181
1128,177
1129,181
1130,183
1131,176
1132,161
1133,143
1134,183
1135,188
1136,179
1137,176
1138,148
1139,156
1140,141
1141,172
1142,14
1143,174
1144,163
1145,144
1146,170
1147,182
1148,178
1149,181
1150,170
1151,174
1152,170
1153,150
1154,179
1155,175
1156,184
1157,135
1158,-218
1159,-127
1160,37
1161,151
1162,152
1163,109
1164,141
1165,-71
1166,151
1167,163
1168,115
1169,102
1170,175
1171,143
1172,144
1173,135
1174,28
1175,-129
1176,133
1177,171
1178,53
1179,162
1180,178
1181,144
1182,140
1183,169
1184,163
1185,150
1186,167
1187,169
1188,179
1189,174
1190,173
1191,174
1192,174
1193,175
1194,15
1195,180
1196,183
1197,185
1198,185
1199,185
1200,183
1201,172
1202,172
1203,181
1204,179
1205,176
1206,186
1207,161
1208,174
1209,177
1210,157
1211,163
1212,176
1213,178
1214,137
1215,180
1216,112
1217,176
1218,179
1219,180
1220,185
1221,181
1222,184
1223,180
1224,182
1225,180
1226,186
1227,183
1228,185
1229,183
1230,-22
1231,161
1232,121
1233,177
1234,152
1235,36
1236,168
1237,175
1238,-11
1239,128
1240,28
1241,182
1242,147
1243,169
1244,52
1245,174
1246,175
1247,184
1248,187
1249,155
1250,108
1251,173
1252,174
1253,184
1254,173
1255,157
1256,176
1257,183
1258,181
1259,178
1260,186
1261,174
1262,182
1263,183
1264,174
1265,177
1266,177
1267,134
1268,105
1269,-86
1270,36
1271,140
1272,167
1273,169
1274,172
1275,179
1276,180
1277,157
1278,123
1279,181
1280,154
1281,125
1282,174
1283,185
1284,184
1285,162
1286,165
1287,103
1288,-27
1289,147
1290,179
1291,175
1292,98
1293,174
1294,178
1295,112
1296,-138
1297,185
1298,164
1299,100
1300,117
1301,140
1302,164
1303,111
1304,114
1305,70
1306,174
1307,-37
1308,182
1309,178
1310,182
1311,178
1312,186
1313,179
1314,184
1315,175
1316,176
1317,183
1318,181
1319,179
1320,172
1321,182
1322,180
1323,181
1324,185
1325,177
1326,177
1327,177
1328,156
1329,81
1330,122
1331,147
1332,178
1333,184
1334,185
1335,52
1336,134
1337,95
1338,188
1339,176
1340,73
1341,113
1342,181
1343,133
1344,177
1345,184
1346,178
1347,179
1348,186
1349,181
1350,176
1351,182
1352,177
1353,183
1354,181
1355,179
1356,155
1357,140
1358,125
1359,100
1360,178
1361,-103
1362,183
1363,177
1364,67
1365,177
1366,157
1367,-59
1368,159
1369,187
1370,186
1371,156
1372,106
1373,186
1374,179
1375,168
1376,178
1377,177
1378,184
1379,180
1380,164
1381,190
1382,180
1383,182
1384,171
1385,177
1386,178
1387,170
1388,178
1389,177
1390,169
1391,182
1392,173
1393,182
1394,184
1395,153
1396,178
1397,173
1398,179
1399,177
1400,179
1401,161
1402,160
1403,170
1404,184
1405,181
1406,170
1407,179
1408,187
1409,172
1410,181
1411,159
1412,182
1413,175
1414,182
1415,182
1416,161
1417,167
1418,182
1419,176
1420,183
1421,178
1422,178
1423,186
1424,179
