game,score
1,436
2,539
3,457
4,424
5,420
6,538
7,499
8,450
9,470
10,409
11,558
12,487
13,527
14,406
15,516
16,373
17,514
18,516
19,509
20,461
21,538
22,363
23,344
24,538
25,494
