map,pacman,game,points
labAA2.lay,BasicAgentAA,1,372
labAA2.lay,BasicAgentAA,2,382
labAA2.lay,BasicAgentAA,3,388
labAA2.lay,BasicAgentAA,4,381
labAA2.lay,BasicAgentAA,5,383
labAA2.lay,BasicAgentAA,6,383
labAA2.lay,BasicAgentAA,7,370
labAA2.lay,BasicAgentAA,8,382
labAA2.lay,BasicAgentAA,9,376
labAA2.lay,BasicAgentAA,10,372
labAA2.lay,BasicAgentAA,11,384
labAA2.lay,BasicAgentAA,12,371
labAA2.lay,BasicAgentAA,13,385
labAA2.lay,BasicAgentAA,14,384
labAA2.lay,BasicAgentAA,15,379
labAA2.lay,BasicAgentAA,16,371
labAA2.lay,BasicAgentAA,17,382
labAA2.lay,BasicAgentAA,18,382
labAA2.lay,BasicAgentAA,19,378
labAA2.lay,BasicAgentAA,20,379
labAA2.lay,BasicAgentAA,21,383
labAA2.lay,BasicAgentAA,22,377
labAA2.lay,BasicAgentAA,23,387
labAA2.lay,BasicAgentAA,24,382
labAA2.lay,BasicAgentAA,25,383
labAA2.lay,BasicAgentAA,26,384
labAA2.lay,BasicAgentAA,27,378
labAA2.lay,BasicAgentAA,28,377
labAA2.lay,BasicAgentAA,29,374
labAA2.lay,BasicAgentAA,30,384
labAA2.lay,BasicAgentAA,31,386
labAA2.lay,BasicAgentAA,32,379
labAA2.lay,BasicAgentAA,33,379
labAA2.lay,BasicAgentAA,34,380
labAA2.lay,BasicAgentAA,35,386
labAA2.lay,BasicAgentAA,36,377
labAA2.lay,BasicAgentAA,37,368
labAA2.lay,BasicAgentAA,38,384
labAA2.lay,BasicAgentAA,39,381
labAA2.lay,BasicAgentAA,40,380
labAA2.lay,BasicAgentAA,41,378
labAA2.lay,BasicAgentAA,42,384
labAA2.lay,BasicAgentAA,43,382
labAA2.lay,BasicAgentAA,44,367
labAA2.lay,BasicAgentAA,45,380
labAA2.lay,BasicAgentAA,46,379
labAA2.lay,BasicAgentAA,47,383
labAA2.lay,BasicAgentAA,48,379
labAA2.lay,BasicAgentAA,49,372
labAA2.lay,BasicAgentAA,50,377
labAA2.lay,BasicAgentAA,51,381
labAA2.lay,BasicAgentAA,52,377
labAA2.lay,BasicAgentAA,53,378
labAA2.lay,BasicAgentAA,54,386
labAA2.lay,BasicAgentAA,55,386
labAA2.lay,BasicAgentAA,56,383
labAA2.lay,BasicAgentAA,57,381
labAA2.lay,BasicAgentAA,58,386
labAA2.lay,BasicAgentAA,59,380
labAA2.lay,BasicAgentAA,60,382
labAA2.lay,BasicAgentAA,61,380
labAA2.lay,BasicAgentAA,62,372
labAA2.lay,BasicAgentAA,63,377
labAA2.lay,BasicAgentAA,64,376
labAA2.lay,BasicAgentAA,65,383
labAA2.lay,BasicAgentAA,66,371
labAA2.lay,BasicAgentAA,67,387
labAA2.lay,BasicAgentAA,68,376
labAA2.lay,BasicAgentAA,69,383
labAA2.lay,BasicAgentAA,70,379
labAA2.lay,BasicAgentAA,71,381
labAA2.lay,BasicAgentAA,72,377
labAA2.lay,BasicAgentAA,73,378
labAA2.lay,BasicAgentAA,74,380
labAA2.lay,BasicAgentAA,75,381
labAA2.lay,BasicAgentAA,76,376
labAA2.lay,BasicAgentAA,77,383
labAA2.lay,BasicAgentAA,78,378
labAA2.lay,BasicAgentAA,79,379
labAA2.lay,BasicAgentAA,80,381
labAA2.lay,BasicAgentAA,81,377
labAA2.lay,BasicAgentAA,82,380
labAA2.lay,BasicAgentAA,83,382
labAA2.lay,BasicAgentAA,84,383
labAA2.lay,BasicAgentAA,85,377
labAA2.lay,BasicAgentAA,86,386
labAA2.lay,BasicAgentAA,87,383
labAA2.lay,BasicAgentAA,88,378
labAA2.lay,BasicAgentAA,89,387
labAA2.lay,BasicAgentAA,90,376
labAA2.lay,BasicAgentAA,91,383
labAA2.lay,BasicAgentAA,92,384
labAA2.lay,BasicAgentAA,93,380
labAA2.lay,BasicAgentAA,94,382
labAA2.lay,BasicAgentAA,95,387
labAA2.lay,BasicAgentAA,96,380
labAA2.lay,BasicAgentAA,97,371
labAA2.lay,BasicAgentAA,98,364
labAA2.lay,BasicAgentAA,99,383
labAA2.lay,BasicAgentAA,100,383
Average Score: 379.78
Scores:        372, 382, 388, 381, 383, 383, 370, 382, 376, 372, 384, 371, 385, 384, 379, 371, 382, 382, 378, 379, 383, 377, 387, 382, 383, 384, 378, 377, 374, 384, 386, 379, 379, 380, 386, 377, 368, 384, 381, 380, 378, 384, 382, 367, 380, 379, 383, 379, 372, 377, 381, 377, 378, 386, 386, 383, 381, 386, 380, 382, 380, 372, 377, 376, 383, 371, 387, 376, 383, 379, 381, 377, 378, 380, 381, 376, 383, 378, 379, 381, 377, 380, 382, 383, 377, 386, 383, 378, 387, 376, 383, 384, 380, 382, 387, 380, 371, 364, 383, 383
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
