map,pacman,game,points
labAA2.lay,BasicAgentAA,1,228
labAA2.lay,BasicAgentAA,2,316
labAA2.lay,BasicAgentAA,3,-41
labAA2.lay,BasicAgentAA,4,260
labAA2.lay,BasicAgentAA,5,244
labAA2.lay,BasicAgentAA,6,158
labAA2.lay,BasicAgentAA,7,155
labAA2.lay,BasicAgentAA,8,195
labAA2.lay,BasicAgentAA,9,288
labAA2.lay,BasicAgentAA,10,145
labAA2.lay,BasicAgentAA,11,305
labAA2.lay,BasicAgentAA,12,251
labAA2.lay,BasicAgentAA,13,18
labAA2.lay,BasicAgentAA,14,321
labAA2.lay,BasicAgentAA,15,95
labAA2.lay,BasicAgentAA,16,-14
labAA2.lay,BasicAgentAA,17,-69
labAA2.lay,BasicAgentAA,18,-290
labAA2.lay,BasicAgentAA,19,250
labAA2.lay,BasicAgentAA,20,295
labAA2.lay,BasicAgentAA,21,-392
labAA2.lay,BasicAgentAA,22,302
labAA2.lay,BasicAgentAA,23,21
labAA2.lay,BasicAgentAA,24,172
labAA2.lay,BasicAgentAA,25,-98
labAA2.lay,BasicAgentAA,26,227
labAA2.lay,BasicAgentAA,27,211
labAA2.lay,BasicAgentAA,28,305
labAA2.lay,BasicAgentAA,29,228
labAA2.lay,BasicAgentAA,30,374
labAA2.lay,BasicAgentAA,31,365
labAA2.lay,BasicAgentAA,32,333
labAA2.lay,BasicAgentAA,33,278
labAA2.lay,BasicAgentAA,34,144
labAA2.lay,BasicAgentAA,35,203
labAA2.lay,BasicAgentAA,36,342
labAA2.lay,BasicAgentAA,37,178
labAA2.lay,BasicAgentAA,38,-172
labAA2.lay,BasicAgentAA,39,234
labAA2.lay,BasicAgentAA,40,259
labAA2.lay,BasicAgentAA,41,51
labAA2.lay,BasicAgentAA,42,282
labAA2.lay,BasicAgentAA,43,273
labAA2.lay,BasicAgentAA,44,125
labAA2.lay,BasicAgentAA,45,150
labAA2.lay,BasicAgentAA,46,302
labAA2.lay,BasicAgentAA,47,271
labAA2.lay,BasicAgentAA,48,241
labAA2.lay,BasicAgentAA,49,96
labAA2.lay,BasicAgentAA,50,174
labAA2.lay,BasicAgentAA,51,24
labAA2.lay,BasicAgentAA,52,286
labAA2.lay,BasicAgentAA,53,299
labAA2.lay,BasicAgentAA,54,172
labAA2.lay,BasicAgentAA,55,27
labAA2.lay,BasicAgentAA,56,-171
labAA2.lay,BasicAgentAA,57,-211
labAA2.lay,BasicAgentAA,58,209
labAA2.lay,BasicAgentAA,59,320
labAA2.lay,BasicAgentAA,60,188
labAA2.lay,BasicAgentAA,61,144
labAA2.lay,BasicAgentAA,62,178
labAA2.lay,BasicAgentAA,63,326
labAA2.lay,BasicAgentAA,64,218
labAA2.lay,BasicAgentAA,65,202
labAA2.lay,BasicAgentAA,66,250
labAA2.lay,BasicAgentAA,67,255
labAA2.lay,BasicAgentAA,68,-122
labAA2.lay,BasicAgentAA,69,323
labAA2.lay,BasicAgentAA,70,259
labAA2.lay,BasicAgentAA,71,272
labAA2.lay,BasicAgentAA,72,153
labAA2.lay,BasicAgentAA,73,-88
labAA2.lay,BasicAgentAA,74,-80
labAA2.lay,BasicAgentAA,75,254
labAA2.lay,BasicAgentAA,76,274
labAA2.lay,BasicAgentAA,77,316
labAA2.lay,BasicAgentAA,78,371
labAA2.lay,BasicAgentAA,79,340
labAA2.lay,BasicAgentAA,80,300
labAA2.lay,BasicAgentAA,81,247
labAA2.lay,BasicAgentAA,82,303
labAA2.lay,BasicAgentAA,83,242
labAA2.lay,BasicAgentAA,84,213
labAA2.lay,BasicAgentAA,85,288
labAA2.lay,BasicAgentAA,86,-196
labAA2.lay,BasicAgentAA,87,183
labAA2.lay,BasicAgentAA,88,-128
labAA2.lay,BasicAgentAA,89,178
labAA2.lay,BasicAgentAA,90,311
labAA2.lay,BasicAgentAA,91,45
labAA2.lay,BasicAgentAA,92,140
labAA2.lay,BasicAgentAA,93,46
labAA2.lay,BasicAgentAA,94,236
labAA2.lay,BasicAgentAA,95,-159
labAA2.lay,BasicAgentAA,96,142
labAA2.lay,BasicAgentAA,97,196
labAA2.lay,BasicAgentAA,98,226
labAA2.lay,BasicAgentAA,99,327
labAA2.lay,BasicAgentAA,100,270
Average Score: 169.87
Scores:        228, 316, -41, 260, 244, 158, 155, 195, 288, 145, 305, 251, 18, 321, 95, -14, -69, -290, 250, 295, -392, 302, 21, 172, -98, 227, 211, 305, 228, 374, 365, 333, 278, 144, 203, 342, 178, -172, 234, 259, 51, 282, 273, 125, 150, 302, 271, 241, 96, 174, 24, 286, 299, 172, 27, -171, -211, 209, 320, 188, 144, 178, 326, 218, 202, 250, 255, -122, 323, 259, 272, 153, -88, -80, 254, 274, 316, 371, 340, 300, 247, 303, 242, 213, 288, -196, 183, -128, 178, 311, 45, 140, 46, 236, -159, 142, 196, 226, 327, 270
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
