map,pacman,game,points
labAA4.lay,BasicAgentAA,1,575
labAA4.lay,BasicAgentAA,2,580
labAA4.lay,BasicAgentAA,3,578
labAA4.lay,BasicAgentAA,4,575
labAA4.lay,BasicAgentAA,5,578
labAA4.lay,BasicAgentAA,6,584
labAA4.lay,BasicAgentAA,7,581
labAA4.lay,BasicAgentAA,8,576
labAA4.lay,BasicAgentAA,9,579
labAA4.lay,BasicAgentAA,10,579
labAA4.lay,BasicAgentAA,11,581
labAA4.lay,BasicAgentAA,12,578
labAA4.lay,BasicAgentAA,13,583
labAA4.lay,BasicAgentAA,14,573
labAA4.lay,BasicAgentAA,15,575
labAA4.lay,BasicAgentAA,16,581
labAA4.lay,BasicAgentAA,17,574
labAA4.lay,BasicAgentAA,18,576
labAA4.lay,BasicAgentAA,19,581
labAA4.lay,BasicAgentAA,20,580
labAA4.lay,BasicAgentAA,21,578
labAA4.lay,BasicAgentAA,22,580
labAA4.lay,BasicAgentAA,23,576
labAA4.lay,BasicAgentAA,24,578
labAA4.lay,BasicAgentAA,25,573
labAA4.lay,BasicAgentAA,26,575
labAA4.lay,BasicAgentAA,27,579
labAA4.lay,BasicAgentAA,28,574
labAA4.lay,BasicAgentAA,29,581
labAA4.lay,BasicAgentAA,30,575
labAA4.lay,BasicAgentAA,31,579
labAA4.lay,BasicAgentAA,32,576
labAA4.lay,BasicAgentAA,33,573
labAA4.lay,BasicAgentAA,34,572
labAA4.lay,BasicAgentAA,35,570
labAA4.lay,BasicAgentAA,36,576
labAA4.lay,BasicAgentAA,37,580
labAA4.lay,BasicAgentAA,38,582
labAA4.lay,BasicAgentAA,39,576
labAA4.lay,BasicAgentAA,40,574
labAA4.lay,BasicAgentAA,41,577
labAA4.lay,BasicAgentAA,42,582
labAA4.lay,BasicAgentAA,43,579
labAA4.lay,BasicAgentAA,44,580
labAA4.lay,BasicAgentAA,45,583
labAA4.lay,BasicAgentAA,46,579
labAA4.lay,BasicAgentAA,47,576
labAA4.lay,BasicAgentAA,48,579
labAA4.lay,BasicAgentAA,49,577
labAA4.lay,BasicAgentAA,50,575
labAA4.lay,BasicAgentAA,51,575
labAA4.lay,BasicAgentAA,52,582
labAA4.lay,BasicAgentAA,53,576
labAA4.lay,BasicAgentAA,54,577
labAA4.lay,BasicAgentAA,55,579
labAA4.lay,BasicAgentAA,56,574
labAA4.lay,BasicAgentAA,57,577
labAA4.lay,BasicAgentAA,58,582
labAA4.lay,BasicAgentAA,59,565
labAA4.lay,BasicAgentAA,60,574
labAA4.lay,BasicAgentAA,61,578
labAA4.lay,BasicAgentAA,62,582
labAA4.lay,BasicAgentAA,63,579
labAA4.lay,BasicAgentAA,64,574
labAA4.lay,BasicAgentAA,65,579
labAA4.lay,BasicAgentAA,66,580
labAA4.lay,BasicAgentAA,67,580
labAA4.lay,BasicAgentAA,68,582
labAA4.lay,BasicAgentAA,69,577
labAA4.lay,BasicAgentAA,70,568
labAA4.lay,BasicAgentAA,71,586
labAA4.lay,BasicAgentAA,72,576
labAA4.lay,BasicAgentAA,73,576
labAA4.lay,BasicAgentAA,74,575
labAA4.lay,BasicAgentAA,75,578
labAA4.lay,BasicAgentAA,76,581
labAA4.lay,BasicAgentAA,77,573
labAA4.lay,BasicAgentAA,78,577
labAA4.lay,BasicAgentAA,79,579
labAA4.lay,BasicAgentAA,80,578
labAA4.lay,BasicAgentAA,81,586
labAA4.lay,BasicAgentAA,82,575
labAA4.lay,BasicAgentAA,83,582
labAA4.lay,BasicAgentAA,84,582
labAA4.lay,BasicAgentAA,85,585
labAA4.lay,BasicAgentAA,86,579
labAA4.lay,BasicAgentAA,87,579
labAA4.lay,BasicAgentAA,88,578
labAA4.lay,BasicAgentAA,89,582
labAA4.lay,BasicAgentAA,90,574
labAA4.lay,BasicAgentAA,91,580
labAA4.lay,BasicAgentAA,92,574
labAA4.lay,BasicAgentAA,93,573
labAA4.lay,BasicAgentAA,94,576
labAA4.lay,BasicAgentAA,95,579
labAA4.lay,BasicAgentAA,96,581
labAA4.lay,BasicAgentAA,97,576
labAA4.lay,BasicAgentAA,98,574
labAA4.lay,BasicAgentAA,99,580
labAA4.lay,BasicAgentAA,100,579
Average Score: 577.74
Scores:        575, 580, 578, 575, 578, 584, 581, 576, 579, 579, 581, 578, 583, 573, 575, 581, 574, 576, 581, 580, 578, 580, 576, 578, 573, 575, 579, 574, 581, 575, 579, 576, 573, 572, 570, 576, 580, 582, 576, 574, 577, 582, 579, 580, 583, 579, 576, 579, 577, 575, 575, 582, 576, 577, 579, 574, 577, 582, 565, 574, 578, 582, 579, 574, 579, 580, 580, 582, 577, 568, 586, 576, 576, 575, 578, 581, 573, 577, 579, 578, 586, 575, 582, 582, 585, 579, 579, 578, 582, 574, 580, 574, 573, 576, 579, 581, 576, 574, 580, 579
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
