map,pacman,game,points
labAA4.lay,BasicAgentAA,1,556
labAA4.lay,BasicAgentAA,2,318
labAA4.lay,BasicAgentAA,3,501
labAA4.lay,BasicAgentAA,4,327
labAA4.lay,BasicAgentAA,5,176
labAA4.lay,BasicAgentAA,6,366
labAA4.lay,BasicAgentAA,7,20
labAA4.lay,BasicAgentAA,8,375
labAA4.lay,BasicAgentAA,9,330
labAA4.lay,BasicAgentAA,10,552
labAA4.lay,BasicAgentAA,11,520
labAA4.lay,BasicAgentAA,12,353
labAA4.lay,BasicAgentAA,13,469
labAA4.lay,BasicAgentAA,14,355
labAA4.lay,BasicAgentAA,15,312
labAA4.lay,BasicAgentAA,16,359
labAA4.lay,BasicAgentAA,17,144
labAA4.lay,BasicAgentAA,18,501
labAA4.lay,BasicAgentAA,19,393
labAA4.lay,BasicAgentAA,20,374
labAA4.lay,BasicAgentAA,21,116
labAA4.lay,BasicAgentAA,22,262
labAA4.lay,BasicAgentAA,23,517
labAA4.lay,BasicAgentAA,24,325
labAA4.lay,BasicAgentAA,25,467
labAA4.lay,BasicAgentAA,26,507
labAA4.lay,BasicAgentAA,27,449
labAA4.lay,BasicAgentAA,28,406
labAA4.lay,BasicAgentAA,29,490
labAA4.lay,BasicAgentAA,30,377
labAA4.lay,BasicAgentAA,31,508
labAA4.lay,BasicAgentAA,32,512
labAA4.lay,BasicAgentAA,33,451
labAA4.lay,BasicAgentAA,34,475
labAA4.lay,BasicAgentAA,35,491
labAA4.lay,BasicAgentAA,36,103
labAA4.lay,BasicAgentAA,37,272
labAA4.lay,BasicAgentAA,38,369
labAA4.lay,BasicAgentAA,39,124
labAA4.lay,BasicAgentAA,40,530
labAA4.lay,BasicAgentAA,41,438
labAA4.lay,BasicAgentAA,42,323
labAA4.lay,BasicAgentAA,43,489
labAA4.lay,BasicAgentAA,44,460
labAA4.lay,BasicAgentAA,45,431
labAA4.lay,BasicAgentAA,46,415
labAA4.lay,BasicAgentAA,47,224
labAA4.lay,BasicAgentAA,48,505
labAA4.lay,BasicAgentAA,49,497
labAA4.lay,BasicAgentAA,50,548
labAA4.lay,BasicAgentAA,51,363
labAA4.lay,BasicAgentAA,52,472
labAA4.lay,BasicAgentAA,53,383
labAA4.lay,BasicAgentAA,54,159
labAA4.lay,BasicAgentAA,55,251
labAA4.lay,BasicAgentAA,56,347
labAA4.lay,BasicAgentAA,57,410
labAA4.lay,BasicAgentAA,58,491
labAA4.lay,BasicAgentAA,59,332
labAA4.lay,BasicAgentAA,60,525
labAA4.lay,BasicAgentAA,61,382
labAA4.lay,BasicAgentAA,62,504
labAA4.lay,BasicAgentAA,63,496
labAA4.lay,BasicAgentAA,64,404
labAA4.lay,BasicAgentAA,65,407
labAA4.lay,BasicAgentAA,66,552
labAA4.lay,BasicAgentAA,67,485
labAA4.lay,BasicAgentAA,68,550
labAA4.lay,BasicAgentAA,69,491
labAA4.lay,BasicAgentAA,70,525
labAA4.lay,BasicAgentAA,71,484
labAA4.lay,BasicAgentAA,72,140
labAA4.lay,BasicAgentAA,73,413
labAA4.lay,BasicAgentAA,74,508
labAA4.lay,BasicAgentAA,75,523
labAA4.lay,BasicAgentAA,76,222
labAA4.lay,BasicAgentAA,77,435
labAA4.lay,BasicAgentAA,78,482
labAA4.lay,BasicAgentAA,79,443
labAA4.lay,BasicAgentAA,80,402
labAA4.lay,BasicAgentAA,81,461
labAA4.lay,BasicAgentAA,82,339
labAA4.lay,BasicAgentAA,83,298
labAA4.lay,BasicAgentAA,84,408
labAA4.lay,BasicAgentAA,85,518
labAA4.lay,BasicAgentAA,86,405
labAA4.lay,BasicAgentAA,87,562
labAA4.lay,BasicAgentAA,88,454
labAA4.lay,BasicAgentAA,89,402
labAA4.lay,BasicAgentAA,90,357
labAA4.lay,BasicAgentAA,91,311
labAA4.lay,BasicAgentAA,92,206
labAA4.lay,BasicAgentAA,93,189
labAA4.lay,BasicAgentAA,94,533
labAA4.lay,BasicAgentAA,95,417
labAA4.lay,BasicAgentAA,96,505
labAA4.lay,BasicAgentAA,97,599
labAA4.lay,BasicAgentAA,98,519
labAA4.lay,BasicAgentAA,99,-13
labAA4.lay,BasicAgentAA,100,502
Average Score: 399.35
Scores:        556, 318, 501, 327, 176, 366, 20, 375, 330, 552, 520, 353, 469, 355, 312, 359, 144, 501, 393, 374, 116, 262, 517, 325, 467, 507, 449, 406, 490, 377, 508, 512, 451, 475, 491, 103, 272, 369, 124, 530, 438, 323, 489, 460, 431, 415, 224, 505, 497, 548, 363, 472, 383, 159, 251, 347, 410, 491, 332, 525, 382, 504, 496, 404, 407, 552, 485, 550, 491, 525, 484, 140, 413, 508, 523, 222, 435, 482, 443, 402, 461, 339, 298, 408, 518, 405, 562, 454, 402, 357, 311, 206, 189, 533, 417, 505, 599, 519, -13, 502
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
