map,pacman,game,points
labAA5.lay,BasicAgentAA,1,569
labAA5.lay,BasicAgentAA,2,572
labAA5.lay,BasicAgentAA,3,661
labAA5.lay,BasicAgentAA,4,569
labAA5.lay,BasicAgentAA,5,574
labAA5.lay,BasicAgentAA,6,577
labAA5.lay,BasicAgentAA,7,570
labAA5.lay,BasicAgentAA,8,665
labAA5.lay,BasicAgentAA,9,566
labAA5.lay,BasicAgentAA,10,579
labAA5.lay,BasicAgentAA,11,573
labAA5.lay,BasicAgentAA,12,573
labAA5.lay,BasicAgentAA,13,573
labAA5.lay,BasicAgentAA,14,572
labAA5.lay,BasicAgentAA,15,580
labAA5.lay,BasicAgentAA,16,573
labAA5.lay,BasicAgentAA,17,571
labAA5.lay,BasicAgentAA,18,570
labAA5.lay,BasicAgentAA,19,570
labAA5.lay,BasicAgentAA,20,570
labAA5.lay,BasicAgentAA,21,570
labAA5.lay,BasicAgentAA,22,568
labAA5.lay,BasicAgentAA,23,577
labAA5.lay,BasicAgentAA,24,572
labAA5.lay,BasicAgentAA,25,576
labAA5.lay,BasicAgentAA,26,573
labAA5.lay,BasicAgentAA,27,575
labAA5.lay,BasicAgentAA,28,568
labAA5.lay,BasicAgentAA,29,573
labAA5.lay,BasicAgentAA,30,568
labAA5.lay,BasicAgentAA,31,580
labAA5.lay,BasicAgentAA,32,670
labAA5.lay,BasicAgentAA,33,573
labAA5.lay,BasicAgentAA,34,572
labAA5.lay,BasicAgentAA,35,573
labAA5.lay,BasicAgentAA,36,569
labAA5.lay,BasicAgentAA,37,580
labAA5.lay,BasicAgentAA,38,582
labAA5.lay,BasicAgentAA,39,671
labAA5.lay,BasicAgentAA,40,680
labAA5.lay,BasicAgentAA,41,680
labAA5.lay,BasicAgentAA,42,569
labAA5.lay,BasicAgentAA,43,569
labAA5.lay,BasicAgentAA,44,573
labAA5.lay,BasicAgentAA,45,574
labAA5.lay,BasicAgentAA,46,571
labAA5.lay,BasicAgentAA,47,577
labAA5.lay,BasicAgentAA,48,573
labAA5.lay,BasicAgentAA,49,570
labAA5.lay,BasicAgentAA,50,575
labAA5.lay,BasicAgentAA,51,577
labAA5.lay,BasicAgentAA,52,567
labAA5.lay,BasicAgentAA,53,576
labAA5.lay,BasicAgentAA,54,577
labAA5.lay,BasicAgentAA,55,567
labAA5.lay,BasicAgentAA,56,571
labAA5.lay,BasicAgentAA,57,570
labAA5.lay,BasicAgentAA,58,570
labAA5.lay,BasicAgentAA,59,576
labAA5.lay,BasicAgentAA,60,571
labAA5.lay,BasicAgentAA,61,675
labAA5.lay,BasicAgentAA,62,570
labAA5.lay,BasicAgentAA,63,575
labAA5.lay,BasicAgentAA,64,581
labAA5.lay,BasicAgentAA,65,570
labAA5.lay,BasicAgentAA,66,570
labAA5.lay,BasicAgentAA,67,579
labAA5.lay,BasicAgentAA,68,570
labAA5.lay,BasicAgentAA,69,579
labAA5.lay,BasicAgentAA,70,573
labAA5.lay,BasicAgentAA,71,574
labAA5.lay,BasicAgentAA,72,575
labAA5.lay,BasicAgentAA,73,576
labAA5.lay,BasicAgentAA,74,568
labAA5.lay,BasicAgentAA,75,574
labAA5.lay,BasicAgentAA,76,572
labAA5.lay,BasicAgentAA,77,572
labAA5.lay,BasicAgentAA,78,574
labAA5.lay,BasicAgentAA,79,573
labAA5.lay,BasicAgentAA,80,579
labAA5.lay,BasicAgentAA,81,568
labAA5.lay,BasicAgentAA,82,667
labAA5.lay,BasicAgentAA,83,671
labAA5.lay,BasicAgentAA,84,570
labAA5.lay,BasicAgentAA,85,566
labAA5.lay,BasicAgentAA,86,668
labAA5.lay,BasicAgentAA,87,572
labAA5.lay,BasicAgentAA,88,669
labAA5.lay,BasicAgentAA,89,576
labAA5.lay,BasicAgentAA,90,573
labAA5.lay,BasicAgentAA,91,570
labAA5.lay,BasicAgentAA,92,576
labAA5.lay,BasicAgentAA,93,570
labAA5.lay,BasicAgentAA,94,574
labAA5.lay,BasicAgentAA,95,571
labAA5.lay,BasicAgentAA,96,570
labAA5.lay,BasicAgentAA,97,567
labAA5.lay,BasicAgentAA,98,571
labAA5.lay,BasicAgentAA,99,565
labAA5.lay,BasicAgentAA,100,568
Average Score: 583.31
Scores:        569, 572, 661, 569, 574, 577, 570, 665, 566, 579, 573, 573, 573, 572, 580, 573, 571, 570, 570, 570, 570, 568, 577, 572, 576, 573, 575, 568, 573, 568, 580, 670, 573, 572, 573, 569, 580, 582, 671, 680, 680, 569, 569, 573, 574, 571, 577, 573, 570, 575, 577, 567, 576, 577, 567, 571, 570, 570, 576, 571, 675, 570, 575, 581, 570, 570, 579, 570, 579, 573, 574, 575, 576, 568, 574, 572, 572, 574, 573, 579, 568, 667, 671, 570, 566, 668, 572, 669, 576, 573, 570, 576, 570, 574, 571, 570, 567, 571, 565, 568
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
