game,score
1,264
2,333
3,363
4,204
5,224
6,382
7,274
8,377
9,342
10,278
11,190
12,316
13,376
14,374
15,101
16,108
17,318
18,328
19,379
20,253
21,352
22,374
23,363
24,355
25,364
26,295
27,341
28,318
29,375
30,365
31,375
32,315
33,333
34,358
35,343
36,320
37,366
38,360
39,364
40,215
41,374
42,328
43,347
44,384
45,360
46,356
47,360
48,286
49,347
50,375
51,262
52,323
53,328
54,247
55,277
56,266
57,339
58,362
59,362
60,361
61,359
62,331
63,357
64,372
65,364
66,359
67,374
68,379
69,328
70,371
71,375
72,366
73,369
74,349
75,308
76,294
77,343
78,379
79,160
80,375
81,277
82,251
83,365
84,350
85,257
86,275
87,381
88,355
89,350
90,356
91,262
92,361
93,199
94,200
95,376
96,367
97,344
98,344
99,246
100,324
