@relation pacman-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast

@attribute pos_x numeric
@attribute pos_y numeric
@attribute ghost1_alive {0,1}
@attribute ghost2_alive {0,1}
@attribute ghost3_alive {0,1}
@attribute ghost4_alive {0,1}
@attribute ghost1_pos_x numeric
@attribute ghost1_pos_y numeric
@attribute ghost2_pos_x numeric
@attribute ghost2_pos_y numeric
@attribute ghost3_pos_x numeric
@attribute ghost3_pos_y numeric
@attribute ghost4_pos_x numeric
@attribute ghost4_pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute relative_distance_ghost1_x numeric
@attribute relative_distance_ghost1_y numeric
@attribute relative_distance_ghost2_x numeric
@attribute relative_distance_ghost2_y numeric
@attribute relative_distance_ghost3_x numeric
@attribute relative_distance_ghost3_y numeric
@attribute relative_distance_ghost4_x numeric
@attribute relative_distance_ghost4_y numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute chosen_move {1,2,3,4,5}

@data
13,10,0,0,1,1,1,1,3,1,19,5,24,15,-1,-1,12,17,12,9,10,9,-6,5,-11,-5,1,1,1,0,363,2
13,9,0,0,1,1,1,1,3,1,18,5,24,16,-1,-1,10,19,12,8,10,8,-5,4,-11,-7,1,1,1,0,362,2
13,8,0,0,1,1,1,1,3,1,19,5,24,16,-1,-1,10,20,12,7,10,7,-6,3,-11,-8,1,1,1,0,361,2
13,7,0,0,1,1,1,1,3,1,19,6,23,16,-1,-1,8,20,12,6,10,6,-6,1,-10,-9,1,1,1,0,360,2
13,6,0,0,1,1,1,1,3,1,18,6,23,16,-1,-1,6,21,12,5,10,5,-5,0,-10,-10,1,1,1,0,359,2
14,6,0,0,1,1,1,1,3,1,18,5,22,16,-1,-1,6,19,13,5,11,5,-4,1,-8,-10,1,1,1,1,358,3
15,6,0,0,1,1,1,1,3,1,18,5,22,15,-1,-1,5,19,14,5,12,5,-3,1,-7,-9,0,0,1,1,357,3
16,6,0,0,1,1,1,1,3,1,19,5,22,14,-1,-1,5,21,15,5,13,5,-3,1,-6,-8,0,0,1,1,356,3
17,6,0,0,1,1,1,1,3,1,19,5,22,13,-1,-1,4,23,16,5,14,5,-2,1,-5,-7,0,1,1,1,355,3
17,5,0,0,1,1,1,1,3,1,19,6,22,14,-1,-1,4,23,16,4,14,4,-2,-1,-5,-9,1,1,1,0,354,2
17,6,0,0,1,1,1,1,3,1,19,5,22,13,-1,-1,4,23,16,5,14,5,-2,1,-5,-7,0,1,1,1,353,1
17,5,0,0,1,1,1,1,3,1,19,5,22,13,-1,-1,3,24,16,4,14,4,-2,0,-5,-8,1,1,1,0,352,2
18,5,0,0,1,1,1,1,3,1,19,4,23,13,-1,-1,3,24,17,4,15,4,-1,1,-5,-8,1,1,1,1,351,3
18,4,0,0,1,1,1,1,3,1,19,5,23,14,-1,-1,3,24,17,3,15,3,-1,-1,-5,-10,1,1,1,1,350,2
18,5,0,0,1,1,1,1,3,1,19,5,23,15,-1,-1,2,22,17,4,15,4,-1,0,-5,-10,1,1,1,1,349,1
19,5,0,0,0,1,1,1,3,1,5,1,24,15,-1,-1,-1,22,18,4,16,4,14,4,-5,-10,1,1,1,1,348,3
19,6,0,0,0,1,1,1,3,1,5,1,23,15,-1,-1,-1,20,18,5,16,5,14,5,-4,-9,0,1,1,1,547,1
