game,score
1,306
2,174
3,536
4,538
5,575
6,752
7,604
8,727
9,731
10,714
11,741
12,729
13,466
14,758
15,777
16,733
17,759
18,542
19,693
20,547
21,757
22,772
23,769
24,736
25,530
26,554
27,714
28,759
29,586
30,564
31,738
32,747
33,762
34,539
35,756
36,708
37,762
38,764
39,749
40,542
41,761
42,381
43,580
44,757
45,562
46,632
47,743
48,766
49,541
50,717
51,718
52,693
53,724
54,758
55,771
56,770
57,765
58,751
59,766
60,732
61,750
62,750
63,723
64,768
65,770
66,767
67,646
68,556
69,756
70,724
71,770
72,754
73,690
74,715
75,759
76,762
77,770
78,761
79,768
80,734
81,769
82,759
83,704
84,775
85,759
86,523
87,749
88,712
89,717
90,677
91,725
92,185
93,476
94,524
95,569
96,571
97,275
98,344
99,346
100,470
