game,score
723,1112
724,895
725,926
726,608
727,844
728,903
729,704
730,840
731,978
732,795
733,948
734,842
735,791
736,1012
737,1109
738,1171
739,873
740,975
741,747
742,1017
743,1070
744,1114
745,985
746,770
747,771
748,888
749,1132
750,1063
751,1184
752,988
753,905
754,995
755,1057
756,947
757,1000
758,1130
759,1107
760,1202
761,1110
762,946
763,832
764,720
765,979
766,742
767,980
768,821
769,913
770,1065
771,1126
772,1089
773,1020
774,913
775,1002
776,795
777,990
778,663
779,794
780,935
781,847
782,833
783,309
784,944
785,1003
786,899
787,1004
788,857
789,1079
790,861
791,711
792,814
793,913
794,744
795,955
796,950
797,1083
798,885
799,783
800,834
801,708
802,1064
803,1137
804,939
805,757
806,1167
807,1197
808,1103
809,830
810,1032
811,925
812,968
813,1076
814,887
815,1137
816,797
817,812
818,999
819,1111
820,1122
821,1135
822,997
823,1188
824,1118
825,1043
826,864
827,945
828,1112
829,1117
830,983
831,800
832,931
833,889
834,773
835,843
836,1090
837,1036
838,686
839,1122
840,547
841,986
842,900
843,1076
844,1129
845,1182
846,970
847,1081
848,1141
849,765
850,1089
851,1187
852,996
853,1148
854,878
855,1106
856,1200
857,1162
858,1153
859,978
860,1199
861,1083
862,1120
863,960
864,923
865,609
866,962
867,1110
868,1087
869,1118
870,1073
871,666
872,849
873,1141
874,1175
875,953
876,984
877,944
878,1018
879,1145
880,1152
881,1036
882,1184
883,858
884,1036
885,982
886,1062
887,875
888,906
889,-352
890,850
891,1151
892,1125
893,1126
894,1135
895,1123
896,1006
897,1148
898,990
899,1146
900,921
901,1093
902,1138
903,1060
904,1043
905,980
906,1100
907,472
908,1215
909,1017
910,1052
911,1124
912,1010
913,1045
914,779
915,869
916,1080
917,1072
918,1138
919,1205
920,1170
921,1070
922,959
923,755
924,876
925,1052
926,915
927,1091
928,1167
929,872
930,1092
931,1100
932,715
933,1148
934,768
935,1163
936,1191
937,1000
938,657
939,1062
940,1165
941,797
942,874
943,881
944,1155
945,1021
946,632
947,525
948,900
949,664
950,943
951,162
952,945
953,728
954,790
955,949
956,861
957,854
958,696
959,748
960,1188
961,1002
962,1014
963,895
964,1152
965,1073
966,1062
967,662
968,699
969,1091
970,1040
971,997
972,795
973,1131
974,779
975,1005
976,924
977,1119
978,932
979,957
980,812
981,1005
982,1003
983,1153
984,772
985,1054
986,791
987,779
988,993
989,747
990,724
991,700
992,492
993,1038
994,858
995,1056
996,998
997,1084
998,1101
999,909
1000,1065
1001,875
1002,1076
1003,942
1004,1086
1005,1094
1006,277
1007,855
1008,643
1009,641
1010,1041
1011,721
1012,863
1013,244
1014,623
1015,817
1016,729
1017,590
1018,849
1019,826
1020,1178
1021,818
1022,1076
1023,804
1024,1055
1025,919
1026,880
1027,803
1028,1126
1029,1149
1030,924
1031,945
1032,978
1033,953
1034,1057
1035,1140
1036,1128
1037,900
1038,921
1039,1045
1040,1193
1041,1036
1042,1126
1043,1172
1044,1177
1045,1174
1046,1152
1047,984
1048,959
1049,1084
1050,1157
1051,1033
1052,537
1053,833
1054,1088
1055,1130
1056,1172
1057,1135
1058,1103
1059,1019
1060,843
1061,1084
1062,1132
1063,961
1064,1117
1065,755
1066,1186
1067,1033
1068,865
1069,1036
1070,1100
1071,989
1072,1024
1073,856
1074,613
1075,1080
1076,1054
1077,1186
1078,1132
1079,912
1080,1012
1081,1123
1082,1128
1083,1139
1084,1122
1085,1207
1086,1143
1087,992
1088,764
1089,1096
1090,836
1091,1191
1092,1095
1093,1183
1094,1064
1095,913
1096,893
1097,1151
1098,1123
1099,822
1100,864
1101,1057
1102,900
1103,1131
1104,1108
1105,895
1106,1100
1107,916
1108,1114
1109,1132
1110,483
1111,1089
1112,1085
1113,1082
1114,765
1115,1088
1116,940
1117,765
1118,1107
1119,706
1120,1044
1121,844
1122,1134
1123,829
1124,970
1125,638
1126,968
1127,976
1128,776
1129,1107
1130,914
1131,858
1132,1102
1133,866
1134,1098
1135,1183
1136,1069
1137,1214
1138,547
1139,806
1140,981
1141,898
1142,1176
1143,994
1144,1203
1145,1081
1146,701
1147,952
1148,1165
1149,1034
1150,982
1151,992
1152,941
1153,657
1154,686
1155,718
1156,1060
1157,1165
1158,1117
1159,1091
1160,1034
1161,809
1162,940
1163,1175
1164,966
1165,1080
1166,1010
1167,309
1168,1185
1169,1044
1170,303
1171,870
1172,912
1173,947
1174,757
1175,985
1176,661
1177,1041
1178,981
1179,995
1180,1046
1181,1107
1182,934
1183,884
1184,864
1185,1122
1186,1038
1187,922
1188,857
1189,895
1190,1060
1191,834
1192,1102
1193,1053
1194,829
1195,1147
1196,1200
1197,945
1198,1155
1199,820
1200,1170
1201,1125
1202,1043
1203,1137
1204,618
1205,1007
1206,1200
1207,1050
1208,726
1209,1116
1210,994
1211,880
1212,1013
1213,942
1214,1186
1215,469
1216,926
1217,971
1218,893
1219,1087
1220,1055
1221,1017
1222,937
1223,993
1224,996
1225,547
1226,1061
1227,1182
1228,919
1229,942
1230,1164
1231,1182
1232,1138
1233,1089
1234,1109
1235,1049
1236,1101
1237,899
1238,1105
1239,1145
1240,1014
1241,901
1242,1136
1243,1211
1244,1066
1245,947
1246,757
1247,1126
1248,1118
1249,1065
1250,1116
1251,1181
1252,1052
1253,1223
1254,971
