game,score
1,1040
2,1018
3,925
4,606
5,675
6,39
7,722
8,602
9,623
10,735
11,814
12,49
13,758
14,793
15,1003
16,746
17,910
18,852
19,1004
20,932
21,948
22,944
23,1208
24,772
25,928
26,979
27,1048
28,852
29,1075
30,657
31,1002
32,1210
33,1236
34,756
35,752
36,1193
37,780
38,1201
39,1036
40,1122
41,1201
42,1146
43,1037
44,873
45,1187
46,820
47,1042
48,856
49,1192
50,1032
51,1185
52,1190
53,662
54,962
55,1151
56,970
57,1214
58,831
59,283
60,1211
61,807
62,1242
63,942
64,1131
65,1195
66,858
67,770
68,814
69,1010
70,1052
71,1189
72,1212
73,1209
74,1208
75,1219
76,764
77,1214
78,364
79,1211
80,1229
81,1055
82,1231
83,1229
84,845
85,1250
86,1023
87,1059
88,1164
89,1208
90,1044
91,1204
92,1244
93,1242
94,1057
95,1239
96,1189
97,1241
98,1210
99,1055
100,1230
