game,score
1,445
2,62
3,521
4,470
5,515
6,487
7,424
8,534
9,526
10,487
11,558
12,462
13,445
14,460
15,250
16,479
17,490
18,469
19,488
20,515
21,461
22,513
23,516
24,486
25,479
26,542
27,561
28,535
29,564
30,568
31,509
32,512
33,398
34,558
35,532
36,537
37,474
38,521
39,392
40,555
41,526
42,534
43,540
44,546
45,517
46,358
47,504
48,551
49,544
50,449
51,551
52,543
53,473
54,487
55,469
56,543
57,349
58,447
59,533
60,287
61,406
62,504
63,557
64,506
65,539
66,542
67,464
68,559
69,543
70,504
71,546
72,481
73,557
74,507
75,524
76,563
77,375
78,560
79,387
80,407
81,545
82,559
83,455
84,457
85,537
86,496
87,499
88,549
89,491
90,435
91,476
92,557
93,531
94,547
95,508
96,427
97,482
98,537
99,491
100,567
