game,score
1,376
2,379
3,381
4,380
5,377
6,384
7,384
8,387
9,383
10,384
11,383
12,379
13,385
14,373
15,382
16,371
17,381
18,373
19,382
20,385
21,375
22,381
23,379
24,383
25,380
26,372
27,384
28,353
29,353
30,381
31,382
32,384
33,378
34,382
35,389
36,366
37,377
38,366
39,377
40,385
41,370
42,380
43,384
44,379
45,374
46,384
47,359
48,381
49,386
50,380
51,372
52,381
53,337
54,379
55,386
56,378
57,385
58,387
59,374
60,374
61,376
62,385
63,384
64,380
65,375
66,361
67,386
68,380
69,384
70,382
71,383
72,385
73,384
74,384
75,383
76,388
77,383
78,382
79,366
80,381
81,386
82,371
83,384
84,364
85,383
86,382
87,381
88,381
89,380
90,381
91,381
92,377
93,384
94,385
95,381
96,387
97,387
98,383
99,373
100,383
